iter	RMSE
0	3012.308425
1	2890.33251
2	2769.78762
3	2657.890281
4	2555.751858
5	2454.245439
6	2359.79194
7	2270.147263
8	2184.800177
9	2112.297054
10	2036.468788
11	1965.388342
12	1893.733814
13	1828.870721
14	1769.677739
15	1712.737572
16	1656.761015
17	1597.905432
18	1547.21629
19	1491.279814
20	1443.288513
21	1400.356093
22	1359.528672
23	1313.268508
24	1274.139148
25	1236.922757
26	1193.605089
27	1164.396979
28	1130.80303
29	1099.577488
30	1061.797464
31	1030.589876
32	995.9713246
33	969.5750636
34	938.2916715
35	911.4107477
36	885.328084
37	855.9062382
38	832.6538822
39	805.1474089
40	784.0185993
41	758.4440086
42	738.2525431
43	715.0163914
44	696.1745927
45	673.9544969
46	657.8847249
47	638.2337089
48	618.33667
49	599.5371872
50	583.5375906
51	566.398365
52	550.0890826
53	535.0426549
54	519.9980744
55	506.1660601
56	491.7486574
57	481.3356009
58	469.0661238
59	455.5985555
60	443.0610781
61	431.5173291
62	422.308232
63	413.2992129
64	403.4334036
65	391.2989912
66	380.8318912
67	369.5909664
68	360.4012048
69	351.2038297
70	344.0151339
71	337.2801981
72	328.5968203
73	320.5506056
74	311.3615183
75	305.0403196
76	297.9126848
77	291.2858875
78	284.889783
79	278.8410317
80	271.778962
81	265.0306844
82	258.4717374
83	253.2006235
84	247.3683767
85	242.3249124
86	236.5532611
87	232.1819833
88	227.5732914
89	223.3400667
90	219.5811427
91	214.7224311
92	210.0725043
93	205.7145286
94	202.5205578
95	199.0491584
96	194.7394226
97	191.3885873
98	187.5583785
99	183.9983915
100	180.9829576
101	177.6529356
102	174.7258829
103	172.2918273
104	170.0051638
105	167.5319609
106	165.4411559
107	162.7112925
108	159.7502544
109	157.8575691
110	155.4031769
111	153.0855872
112	150.9118101
113	148.9730443
114	147.5043474
115	145.5011804
116	143.7310888
117	142.093657
118	140.3518007
119	138.6459258
120	137.3436422
121	135.8163126
122	134.3238643
123	133.1433075
124	132.0384389
125	130.8005568
126	129.3930076
127	128.2501293
128	127.2481406
129	126.1633832
130	125.2470728
131	124.0663313
132	123.2150379
133	122.0976891
134	120.9858893
135	120.0025987
136	119.2787038
137	118.3697974
138	117.5792909
139	116.6103921
140	115.8455508
141	115.1926612
142	114.4190674
143	113.6426911
144	112.8540365
145	112.1493228
146	111.4975694
147	110.8645529
148	110.2820261
149	109.7239244
150	109.1006843
151	108.6258474
152	108.1213065
153	107.5557714
154	107.0542832
