iter	Passed	Remaining
0	0	530
1	1	543
2	1	546
3	2	569
4	2	576
5	3	591
6	4	592
7	4	579
8	5	572
9	5	559
10	6	556
11	6	555
12	7	547
13	7	544
14	8	541
15	8	536
16	9	539
17	9	533
18	10	531
19	10	530
20	11	528
21	11	527
22	12	523
23	12	523
24	13	520
25	13	517
26	14	517
27	15	521
28	15	519
29	16	517
30	16	515
31	17	515
32	17	514
33	18	512
34	18	509
35	18	508
36	19	507
37	19	505
38	20	503
39	21	504
40	21	503
41	22	503
42	22	502
43	23	501
44	23	499
45	24	498
46	24	497
47	25	497
48	25	496
49	26	494
50	26	493
51	27	492
52	27	493
53	28	494
54	28	493
55	29	493
56	29	492
57	30	491
58	30	491
59	31	490
60	32	498
61	32	497
62	33	496
63	33	494
64	34	493
65	34	492
66	35	490
67	35	490
68	36	490
69	36	489
70	37	488
71	37	487
72	38	486
73	38	485
74	39	484
75	39	483
76	40	483
77	40	482
78	41	482
79	41	481
80	42	479
81	42	479
82	43	478
83	43	478
84	44	477
85	44	476
86	45	476
87	45	475
88	46	475
89	46	474
90	47	475
91	48	474
92	48	473
93	49	473
94	49	472
95	50	471
96	50	470
97	51	469
98	51	469
99	52	468
100	52	467
101	53	468
102	53	468
103	54	468
104	54	467
105	55	466
106	55	466
107	56	466
108	56	465
109	57	465
110	57	464
111	58	464
112	59	463
113	59	462
114	59	461
115	60	460
116	60	460
117	61	459
118	61	458
119	62	457
120	62	456
121	63	455
122	63	455
123	64	454
124	64	453
125	65	453
126	65	453
127	66	452
128	66	451
129	67	451
130	67	450
131	68	450
132	68	449
133	69	449
134	69	448
135	70	447
136	70	447
137	71	446
138	72	446
139	72	446
140	73	445
141	73	444
142	74	444
143	74	443
144	75	443
145	75	442
146	76	441
147	76	440
148	76	439
149	77	439
150	78	438
151	78	438
152	79	438
153	79	437
154	80	436
155	80	435
156	81	435
157	82	439
158	83	439
159	83	438
160	84	438
161	84	437
162	85	436
163	85	436
164	86	435
165	86	435
166	87	434
167	87	433
168	88	433
169	88	432
170	89	432
171	89	431
172	90	431
173	90	431
174	91	432
175	92	431
176	92	431
177	93	431
178	93	430
179	94	430
180	94	429
181	95	429
182	95	428
183	96	427
184	97	427
185	97	426
186	98	426
187	98	425
188	99	425
189	99	424
190	100	424
191	100	423
192	101	423
193	101	422
194	102	422
195	102	421
196	103	421
197	103	420
198	104	420
199	105	420
200	105	420
201	106	419
202	106	419
203	107	418
204	107	417
205	108	417
206	108	416
207	109	416
208	109	415
209	110	415
210	111	415
211	111	414
212	112	413
213	112	413
214	113	412
215	113	412
216	114	411
217	114	411
218	115	410
219	115	410
220	116	409
221	116	409
222	117	409
223	117	408
224	118	408
225	119	408
226	119	407
227	120	407
228	120	406
229	121	405
230	121	405
231	122	404
232	122	404
233	123	403
234	123	403
235	124	403
236	125	402
237	125	402
238	126	401
239	126	401
240	127	400
241	127	399
242	128	399
243	128	398
244	129	398
245	129	397
246	130	396
247	130	396
248	131	395
249	131	395
250	132	394
251	132	393
252	133	392
253	133	392
254	134	391
255	134	391
256	135	390
257	135	389
258	136	389
259	136	388
260	137	388
261	137	387
262	138	386
263	138	386
264	139	385
265	139	385
266	140	384
267	140	384
268	141	383
269	141	383
270	142	383
271	143	382
272	143	382
273	144	381
274	144	381
275	145	380
276	145	380
277	146	379
278	146	379
279	147	378
280	147	378
281	148	378
282	149	378
283	149	377
284	150	377
285	150	376
286	151	376
287	152	376
288	152	376
289	153	375
290	153	375
291	154	374
292	155	374
293	155	373
294	156	373
295	156	373
296	157	372
297	158	372
298	158	371
299	159	371
300	159	370
301	160	370
302	160	369
303	161	369
304	161	369
305	162	368
306	163	368
307	163	368
308	164	367
309	166	370
310	167	370
311	169	373
312	170	374
313	171	375
314	172	375
315	173	376
316	174	375
317	175	375
318	175	374
319	176	374
320	176	373
321	177	373
322	177	372
323	178	371
324	178	371
325	179	370
326	179	369
327	180	369
328	181	369
329	181	368
330	182	368
331	182	367
332	183	366
333	183	365
334	184	365
335	184	364
336	185	364
337	185	363
338	186	363
339	186	362
340	187	361
341	187	360
342	188	360
343	188	359
344	189	359
345	189	358
346	190	357
347	190	357
348	191	356
349	191	355
350	192	355
351	192	354
352	193	354
353	193	353
354	194	353
355	194	352
356	195	352
357	196	351
358	196	351
359	197	350
360	197	349
361	198	349
362	198	348
363	199	348
364	199	347
365	200	346
366	200	346
367	201	345
368	201	344
369	202	344
370	202	343
371	203	343
372	203	342
373	204	341
374	204	341
375	205	340
376	205	339
377	206	339
378	206	339
379	207	338
380	209	340
381	209	339
382	210	338
383	210	338
384	211	337
385	211	336
386	212	336
387	212	335
388	213	334
389	213	334
390	214	334
391	215	333
392	215	333
393	216	332
394	216	331
395	217	331
396	217	330
397	218	330
398	218	329
399	219	329
400	220	328
401	220	328
402	221	327
403	221	327
404	222	326
405	222	325
406	223	325
407	223	324
408	224	323
409	224	323
410	226	323
411	226	323
412	227	322
413	227	322
414	228	321
415	228	321
416	229	320
417	229	319
418	230	319
419	230	318
420	231	318
421	231	317
422	232	317
423	232	316
424	233	315
425	234	315
426	234	314
427	235	314
428	235	313
429	236	312
430	236	312
431	237	311
432	237	311
433	238	310
434	238	309
435	239	309
436	239	308
437	240	308
438	240	307
439	241	307
440	241	306
441	242	306
442	242	305
443	243	304
444	244	304
445	244	303
446	245	303
447	245	302
448	246	302
449	246	301
450	247	301
451	247	300
452	248	299
453	248	299
454	249	298
455	249	298
456	250	297
457	250	296
